measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Diabetes mellitus type 2,Ambient particulate matter pollution,Rate,1992,1.1019724450929291,1.5391373086177653,0.7432591869199677
Deaths,Global,Both,All Ages,Ischemic heart disease,Ambient particulate matter pollution,Rate,1994,12.010675319137102,14.964501594819696,9.096824045369388
Deaths,Global,Both,All Ages,Chronic obstructive pulmonary disease,Ambient particulate matter pollution,Rate,1997,7.35214940424327,10.128756698535058,4.873686489871114
Deaths,Global,Both,All Ages,Ischemic heart disease,Ambient particulate matter pollution,Rate,1997,11.930398259113293,14.715257430647336,9.19040810990634
Deaths,Global,Both,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Ambient particulate matter pollution,Rate,1994,0.4903458098499534,0.810387364645682,0.2699047237748107
Deaths,Global,Both,All Ages,Diabetes mellitus type 2,Ambient particulate matter pollution,Rate,1993,1.1424863415626119,1.597549628271499,0.7733768477422229
Deaths,Global,Both,All Ages,Otitis media,Ambient particulate matter pollution,Rate,1994,0.00023262502382229635,0.0007870101529155682,3.209326301551128e-05
Deaths,Global,Both,All Ages,Meningitis,Ambient particulate matter pollution,Rate,1994,0.016487316824347995,0.02830905303435249,0.009191230033180564
Deaths,Global,Both,All Ages,Diarrheal diseases,Ambient particulate matter pollution,Rate,1996,0.10081550302271867,0.17871204006344027,0.052276999075121594
Deaths,Global,Both,All Ages,Otitis media,Ambient particulate matter pollution,Rate,1995,0.00022078182422353084,0.0007239357671465476,2.8687486332087762e-05
Deaths,Global,Both,All Ages,Other neonatal disorders,Ambient particulate matter pollution,Rate,1996,0.3539600224604134,0.5790660136288147,0.20990669257694725
Deaths,Global,Both,All Ages,Ischemic stroke,Ambient particulate matter pollution,Rate,1997,4.54915351487143,5.665216190077788,3.3725272788055145
Deaths,Global,Both,All Ages,Subarachnoid hemorrhage,Ambient particulate matter pollution,Rate,1997,1.0300294000920382,1.4530620147773654,0.6533321231983972
Deaths,Global,Both,All Ages,Intracerebral hemorrhage,Ambient particulate matter pollution,Rate,1997,5.144130317357191,6.8693957762281865,3.574888816375547
Deaths,Global,Both,All Ages,Intracerebral hemorrhage,Ambient particulate matter pollution,Rate,1994,4.739473157079847,6.4967397594995555,3.180163297385338
Deaths,Global,Both,All Ages,Lower respiratory infections,Ambient particulate matter pollution,Rate,1997,4.7548262141782205,7.25012649456006,2.989152285961831
Deaths,Global,Both,All Ages,Ischemic heart disease,Ambient particulate matter pollution,Rate,1996,11.909585773581178,14.778483820974166,9.078874775649464
Deaths,Global,Both,All Ages,Subarachnoid hemorrhage,Ambient particulate matter pollution,Rate,1996,1.0308817517462263,1.4704616953444152,0.6395547051624887
Deaths,Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Ambient particulate matter pollution,Rate,1996,0.15443514598923158,0.2557120364910792,0.08593244880482313
Deaths,Global,Both,All Ages,Hemolytic disease and other neonatal jaundice,Ambient particulate matter pollution,Rate,1996,0.07381563206843905,0.1299964295118687,0.03883313909697948
Deaths,Global,Both,All Ages,Diabetes mellitus type 2,Ambient particulate matter pollution,Rate,1998,1.3398369802940773,1.8481250762343766,0.9235154433637682
Deaths,Global,Both,All Ages,Chronic obstructive pulmonary disease,Ambient particulate matter pollution,Rate,1993,6.96013617516552,9.984221371811993,4.433513365892074
Deaths,Global,Both,All Ages,Other neonatal disorders,Ambient particulate matter pollution,Rate,1995,0.35535396519251367,0.5788495733145791,0.20664086178140229
Deaths,Global,Both,All Ages,Encephalitis,Ambient particulate matter pollution,Rate,1995,0.0018614155147393854,0.0028641188364746544,0.001009950435360667
Deaths,Global,Both,All Ages,Diarrheal diseases,Ambient particulate matter pollution,Rate,1998,0.09770888045525465,0.17049226941916273,0.051935427029485046
Deaths,Global,Both,All Ages,Chronic obstructive pulmonary disease,Ambient particulate matter pollution,Rate,1995,7.090453759734258,10.042971844026543,4.592526100592895
Deaths,Global,Both,All Ages,Diarrheal diseases,Ambient particulate matter pollution,Rate,1995,0.10486988258710407,0.18653625287359463,0.0541709534015544
Deaths,Global,Both,All Ages,Intracerebral hemorrhage,Ambient particulate matter pollution,Rate,1996,4.968458531997493,6.7255448102204305,3.378146841211443
Deaths,Global,Both,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Ambient particulate matter pollution,Rate,1996,0.4927193114602887,0.8016919421991038,0.2797016672678235
